Date,Open,High,Low,Close,Volume,dividends,stock_splits,Ticker
2018-01-02,39.85008766691489,40.35125810326476,39.63931284929152,40.341888427734375,102223600,0.0,0.0,AAPL
2018-01-03,40.40512384715967,40.87819243452449,40.27163633682215,40.33486557006836,118071600,0.0,0.0,AAPL
2018-01-04,40.40746150030368,40.6252617858804,40.299735247059225,40.522216796875,89738400,0.0,0.0,AAPL
2018-01-05,40.61823519787352,41.070223754905165,40.526900518948345,40.98357391357422,94640000,0.0,0.0,AAPL
2018-01-08,40.83134460449219,41.1264250065992,40.73298089697299,40.83134460449219,82271200,0.0,0.0,AAPL
2018-01-09,40.87819410074322,40.99763067522768,40.61121549570155,40.8266716003418,86336000,0.0,0.0,AAPL
2018-01-10,40.55266450966543,40.81964309485793,40.515192953344034,40.81729888916016,95839600,0.0,0.0,AAPL
2018-01-11,40.887551806210006,41.0983266027859,40.86413476669079,41.04914474487305,74670800,0.0,0.0,AAPL
2018-01-12,41.25991087346616,41.536259064148354,41.13578950154014,41.473026275634766,101672400,0.0,0.0,AAPL
2018-01-16,41.662726478142304,42.01167360260789,41.25055013043537,41.26226043701172,118263600,0.0,0.0,AAPL
2018-01-17,41.25289113233468,41.97888726477312,40.99996709013325,41.94375991821289,137547200,0.0,0.0,AAPL
2018-01-18,42.00698530300974,42.17794790326898,41.74469161004063,41.981224060058594,124773600,0.0,0.0,AAPL
2018-01-19,41.82900399397506,42.056170360899095,41.5479745053168,41.79387664794922,129700400,0.0,0.0,AAPL
2018-01-22,41.52220833043589,41.63461939785577,41.358274779306186,41.45195007324219,108434400,0.0,0.0,AAPL
2018-01-23,41.52222641222596,42.02339695734473,41.40981529585413,41.461334228515625,130756400,0.0,0.0,AAPL
2018-01-24,41.51050820232162,41.52221851030546,40.5620304313799,40.800907135009766,204420400,0.0,0.0,AAPL
2018-01-25,40.86882172505862,40.9718667190559,39.93673908810159,40.07257080078125,166116000,0.0,0.0,AAPL
2018-01-26,40.28099215316903,40.28099215316903,39.8266594606143,40.166236877441406,156572000,0.0,0.0,AAPL
2018-01-29,39.85007920746292,39.85007920746292,39.12642737292119,39.33485794067383,202561600,0.0,0.0,AAPL
2018-01-30,38.76577526123802,39.196687392224455,38.5713956038565,39.10301208496094,184192800,0.0,0.0,AAPL
2018-01-31,39.07958466961124,39.44726751226746,38.99293484679967,39.210731506347656,129915600,0.0,0.0,AAPL
2018-02-01,39.14985597618095,39.48943348596959,39.05383644817289,39.2927131652832,188923200,0.0,0.0,AAPL
2018-02-02,38.87584660134954,39.063200793643205,37.49411613346626,37.58779144287109,346375200,0.0,0.0,AAPL
2018-02-05,37.25991859617889,38.3793551679824,36.53392255197071,36.64867782592773,290954000,0.0,0.0,AAPL
2018-02-06,36.259921731587134,38.34188697249856,36.06554208245456,38.180294036865234,272975200,0.0,0.0,AAPL
2018-02-07,38.194354177070885,38.26695309063286,37.25290535970743,37.36297225952149,206434400,0.0,0.0,AAPL
2018-02-08,37.53860764381872,37.70488541893073,36.30675987869789,36.33486175537109,217562000,0.0,0.0,AAPL
2018-02-09,36.93448689935861,37.12730529106897,35.32843481182689,36.77928924560547,282690400,0.1575,0.0,AAPL
2018-02-12,37.27075016108896,38.53819066973254,37.037953647563256,38.260719299316406,243278000,0.0,0.0,AAPL
2018-02-13,38.08199687741703,38.74040817400925,38.01145216920126,38.64399719238281,130196800,0.0,0.0,AAPL
2018-02-14,38.33831316239398,39.39647322333067,38.30069242048141,39.35649871826172,162579600,0.0,0.0,AAPL
2018-02-15,39.925548323114,40.70153298957986,39.73978404743447,40.67802047729492,204588800,0.0,0.0,AAPL
2018-02-16,40.52989016661168,41.108352696021626,40.39115445827603,40.546348571777344,160704400,0.0,0.0,AAPL
2018-02-20,40.4569941418144,40.97666638689224,40.3088505591282,40.40996551513672,135722000,0.0,0.0,AAPL
2018-02-21,40.64039642899439,40.9437340323257,40.21242779868548,40.226539611816406,149886400,0.0,0.0,AAPL
2018-02-22,40.39819560728738,40.90375947481818,40.37703326970029,40.56279754638672,123967600,0.0,0.0,AAPL
2018-02-23,40.83792303213014,41.30351244871162,40.80735281589202,41.26824188232422,135249600,0.0,0.0,AAPL
2018-02-26,41.468122415156905,42.18296681191079,41.43520202033378,42.084205627441406,152648800,0.0,0.0,AAPL
2018-02-27,42.11477065833186,42.439270627879786,41.89373221115718,41.94781494140625,155712400,0.0,0.0,AAPL
2018-02-28,42.15239401571747,42.47219365504508,41.86786853243593,41.88432693481445,151128400,0.0,0.0,AAPL
2018-03-01,41.98309066020018,42.27467386282315,40.600430490213576,41.150672912597656,195208000,0.0,0.0,AAPL
2018-03-02,40.63334118343101,41.45635444518084,40.55103842203479,41.4351921081543,153816000,0.0,0.0,AAPL
2018-03-05,41.200042324937854,41.79496300751792,41.03779057731551,41.57862854003906,113605600,0.0,0.0,AAPL
2018-03-06,41.834933301239005,41.91488228570047,41.41637263193792,41.54335021972656,95154000,0.0,0.0,AAPL
2018-03-07,41.136560133406576,41.350544470010895,40.97901229082367,41.15772247314453,126814000,0.0,0.0,AAPL
